iter	Logloss
0	0.685072456
1	0.6769944641
2	0.6703724603
3	0.6628185372
4	0.6564501334
5	0.6497074649
6	0.6434945326
7	0.6363787045
8	0.629456148
9	0.6240257404
10	0.6187166978
11	0.6127126029
12	0.605920801
13	0.6015605172
14	0.5960101214
15	0.5894462156
16	0.5844313534
17	0.5796561469
18	0.5732973372
19	0.5678657914
20	0.5622897894
21	0.5582953918
22	0.5537285904
23	0.5483791605
24	0.5434919424
25	0.5385870419
26	0.5350748564
27	0.530876558
28	0.5264943365
29	0.5225285375
30	0.5181302169
31	0.514823473
32	0.5118425179
33	0.5088444174
34	0.5044159446
35	0.5007190401
36	0.4967462434
37	0.4930854245
38	0.4899989444
39	0.4861398347
40	0.4831888466
41	0.4796841473
42	0.4760471594
43	0.4734261285
44	0.4701581696
45	0.4677753465
46	0.4646923017
47	0.4622192208
48	0.459236645
49	0.4567199604
50	0.4547391186
51	0.4516206855
52	0.4492400638
53	0.4459651825
54	0.4439907064
55	0.4417890322
56	0.4397042791
57	0.4375064259
58	0.4359389915
59	0.4328730039
60	0.4309580791
61	0.4289349821
62	0.4263578504
63	0.4242889158
64	0.4216619555
65	0.4199798058
66	0.4177473524
67	0.4151108702
68	0.413139688
69	0.4107085832
70	0.4085786844
71	0.4063214013
72	0.4044434911
73	0.4024015352
74	0.4003191024
75	0.3986319687
76	0.3966071985
77	0.3949489271
78	0.3932808702
79	0.3913985715
80	0.3899836295
81	0.3884958852
82	0.3875285576
83	0.3861586296
84	0.384786583
85	0.3830039449
86	0.3814311259
87	0.3802681799
88	0.3788378026
89	0.3769571475
90	0.3755316915
91	0.3741203488
92	0.3727575027
93	0.3709922591
94	0.3693226375
95	0.3679653717
96	0.3663951543
97	0.3642529011
98	0.3629403936
99	0.3618065535
100	0.3600681908
101	0.3593850148
102	0.3581860932
103	0.3569112216
104	0.3553264403
105	0.3540271676
106	0.3529011584
107	0.3517049709
108	0.3508058266
109	0.3497616622
110	0.3486072817
111	0.3478704979
112	0.3467107186
113	0.3455360979
114	0.3444865948
115	0.3435796383
116	0.3428292746
117	0.341737941
118	0.3409227756
