iter	Passed	Remaining
0	168	168008
1	173	86524
2	185	61589
3	189	47215
4	194	38750
5	198	32823
6	201	28644
7	206	25586
8	212	23426
9	216	21439
10	219	19760
11	224	18487
12	227	17301
13	230	16218
14	234	15375
15	238	14657
16	243	14096
17	247	13492
18	250	12955
19	255	12505
20	258	12067
21	262	11660
22	266	11299
23	272	11085
24	276	10798
25	280	10507
26	284	10260
27	288	10023
28	292	9785
29	295	9563
30	299	9367
31	304	9218
32	308	9037
33	311	8862
34	316	8728
35	320	8572
36	323	8428
37	327	8283
38	333	8209
39	337	8104
40	341	7990
41	346	7908
42	351	7826
43	355	7732
44	361	7669
45	369	7657
46	372	7561
47	377	7493
48	381	7405
49	384	7314
50	388	7228
51	396	7228
52	400	7149
53	403	7070
54	408	7027
55	412	6953
56	416	6886
57	419	6819
58	425	6785
59	429	6722
60	433	6667
61	436	6610
62	441	6563
63	445	6512
64	449	6462
65	453	6417
66	459	6403
67	463	6350
68	467	6305
69	471	6262
70	474	6212
71	478	6173
72	483	6142
73	490	6141
74	494	6097
75	497	6054
76	501	6013
77	505	5973
78	509	5935
79	512	5891
80	520	5909
81	524	5869
82	528	5839
83	532	5807
84	536	5770
85	539	5734
86	543	5703
87	550	5707
88	555	5681
89	559	5655
90	564	5634
91	567	5599
92	570	5568
93	577	5562
94	581	5536
95	584	5507
96	588	5477
97	592	5451
98	595	5422
99	599	5396
100	604	5376
101	609	5370
102	613	5344
103	617	5318
104	621	5299
105	625	5273
106	628	5248
107	632	5221
108	637	5214
109	641	5192
110	645	5171
111	649	5150
112	653	5128
113	656	5103
114	660	5083
115	664	5066
116	670	5059
117	673	5037
118	677	5014
119	681	4998
120	686	4984
121	689	4963
122	693	4945
123	706	4990
124	710	4974
125	714	4958
126	718	4937
127	721	4918
128	725	4896
129	729	4885
130	733	4867
131	738	4854
132	742	4841
133	747	4828
134	752	4822
135	757	4811
136	762	4805
137	766	4788
138	769	4768
139	775	4765
140	779	4747
141	783	4735
142	791	4741
143	794	4725
144	798	4709
145	804	4707
146	808	4693
147	813	4681
148	817	4670
149	823	4664
150	826	4649
151	831	4638
152	835	4626
153	840	4615
154	845	4607
155	852	4610
156	855	4594
157	861	4590
158	905	4789
159	919	4827
160	926	4829
161	935	4838
162	946	4860
163	951	4848
164	954	4831
165	960	4823
166	963	4807
167	967	4791
168	971	4775
169	977	4771
170	981	4757
171	984	4740
172	988	4725
173	992	4711
174	996	4695
175	999	4678
176	1003	4665
177	1007	4653
178	1011	4638
179	1015	4624
180	1018	4610
181	1022	4596
182	1026	4583
183	1030	4569
184	1037	4572
185	1042	4561
186	1046	4550
187	1051	4539
188	1055	4527
189	1058	4514
190	1062	4500
191	1068	4496
192	1072	4482
193	1075	4469
194	1079	4455
195	1083	4445
196	1087	4430
197	1090	4416
198	1093	4403
199	1100	4400
200	1103	4388
201	1107	4376
202	1111	4365
203	1116	4356
204	1119	4343
205	1123	4329
206	1128	4323
207	1132	4311
208	1135	4298
209	1139	4286
210	1143	4276
211	1147	4264
212	1151	4252
213	1154	4240
214	1159	4232
215	1162	4220
216	1166	4208
217	1170	4197
218	1174	4187
219	1177	4175
220	1181	4163
221	1184	4151
222	1188	4142
223	1192	4131
224	1196	4120
225	1199	4109
226	1204	4099
227	1210	4097
228	1215	4091
229	1220	4084
230	1223	4074
231	1227	4065
232	1231	4053
233	1235	4044
234	1239	4033
235	1242	4022
236	1245	4010
237	1250	4003
238	1254	3993
239	1257	3982
240	1261	3971
241	1264	3962
242	1268	3951
243	1272	3941
244	1276	3932
245	1279	3923
246	1284	3916
247	1288	3907
248	1292	3897
249	1296	3888
250	1300	3881
251	1304	3871
252	1307	3861
253	1311	3853
254	1316	3846
255	1320	3836
256	1323	3826
257	1329	3823
258	1332	3813
259	1336	3804
260	1340	3795
261	1345	3790
262	1349	3781
263	1352	3771
264	1357	3764
265	1360	3754
266	1364	3745
267	1368	3736
268	1372	3729
269	1377	3724
270	1382	3718
271	1386	3711
272	1390	3703
273	1394	3693
274	1397	3685
275	1402	3678
276	1408	3675
277	1412	3667
278	1415	3659
279	1420	3652
280	1424	3644
281	1428	3636
282	1431	3627
283	1439	3628
284	1442	3620
285	1446	3610
286	1451	3604
287	1454	3596
288	1458	3588
289	1462	3580
290	1468	3577
291	1472	3569
292	1475	3561
293	1479	3552
294	1483	3545
295	1486	3536
296	1490	3527
297	1494	3520
298	1499	3515
299	1503	3507
300	1506	3498
301	1510	3492
302	1514	3484
303	1519	3478
304	1522	3469
305	1528	3466
306	1532	3458
307	1535	3450
308	1540	3443
309	1543	3435
310	1548	3431
311	1552	3422
312	1559	3422
313	1562	3414
314	1566	3406
315	1570	3400
316	1574	3392
317	1578	3385
318	1581	3376
319	1586	3372
320	1590	3365
321	1594	3357
322	1598	3350
323	1601	3342
324	1606	3336
325	1616	3341
326	1619	3333
327	1624	3327
328	1628	3320
329	1633	3317
330	1638	3311
331	1644	3308
332	1647	3300
333	1652	3294
334	1656	3288
335	1661	3283
336	1666	3278
337	1671	3273
338	1675	3266
339	1678	3259
340	1682	3251
341	1686	3244
342	1694	3246
343	1699	3240
344	1703	3234
345	1710	3232
346	1715	3228
347	1721	3226
348	1727	3221
349	1734	3222
350	1739	3216
351	1743	3209
352	1750	3209
353	1754	3202
354	1758	3194
355	1764	3191
356	1767	3183
357	1771	3175
358	1774	3168
359	1779	3163
360	1783	3156
361	1786	3149
362	1790	3141
363	1795	3136
364	1798	3128
365	1802	3121
366	1806	3115
367	1810	3108
368	1813	3101
369	1817	3094
370	1821	3087
371	1825	3081
372	1829	3074
373	1832	3067
374	1836	3060
375	1840	3053
